"which_localization"	"ensembl_gene_id_version"	"percentage_gene_gc_content"	"gene_biotype"	"tmhmm"
"36553"	"non-localized"	"ENSG00000242111.1"	NA	NA	NA
"36554"	"non-localized"	"ENSG00000242113.3"	NA	NA	NA
"36555"	"nucleus"	"ENSG00000242114.5"	NA	NA	NA
"36556"	"non-localized"	"ENSG00000242118.3"	NA	NA	NA
"36557"	"non-localized"	"ENSG00000242119.1"	NA	NA	NA
"36558"	"non-localized"	"ENSG00000242120.3"	NA	NA	NA
"36559"	"non-localized"	"ENSG00000242121.3"	NA	NA	NA
"36560"	"non-localized"	"ENSG00000242123.1"	NA	NA	NA
"36561"	"nucleus"	"ENSG00000242125.3"	NA	NA	NA
"36562"	"non-localized"	"ENSG00000242134.2"	NA	NA	NA
"36563"	"non-localized"	"ENSG00000242135.2"	NA	NA	NA
"36564"	"non-localized"	"ENSG00000242136.1"	NA	NA	NA
"36565"	"non-localized"	"ENSG00000242137.1"	NA	NA	NA
"36566"	"non-localized"	"ENSG00000242140.1"	NA	NA	NA
"36567"	"non-localized"	"ENSG00000242142.1"	NA	NA	NA
"36568"	"non-localized"	"ENSG00000242145.1"	NA	NA	NA
"36569"	"nucleus"	"ENSG00000242147.1"	NA	NA	NA
"36570"	"non-localized"	"ENSG00000242151.1"	NA	NA	NA
"36571"	"non-localized"	"ENSG00000242152.1"	NA	NA	NA
"36572"	"non-localized"	"ENSG00000242153.7"	NA	NA	NA
"36573"	"non-localized"	"ENSG00000242154.1"	NA	NA	NA
"36574"	"non-localized"	"ENSG00000242156.1"	NA	NA	NA
"36575"	"non-localized"	"ENSG00000242158.3"	NA	NA	NA
"36576"	"nucleus"	"ENSG00000242159.1"	NA	NA	NA
"36577"	"nucleus"	"ENSG00000242162.1"	NA	NA	NA
"36578"	"cytosol"	"ENSG00000242163.1"	NA	NA	NA
"36579"	"non-localized"	"ENSG00000242165.3"	NA	NA	NA
"36580"	"non-localized"	"ENSG00000242169.2"	NA	NA	NA
"36581"	"cytosol"	"ENSG00000242170.3"	NA	NA	NA
"36582"	"nucleus"	"ENSG00000242173.8"	NA	NA	NA
"36583"	"cytosol"	"ENSG00000242175.3"	NA	NA	NA
"36584"	"non-localized"	"ENSG00000242176.1"	NA	NA	NA
"36585"	"non-localized"	"ENSG00000242178.1"	NA	NA	NA
"36586"	"nucleus"	"ENSG00000242180.3"	NA	NA	NA
"36587"	"cytosol"	"ENSG00000242182.3"	NA	NA	NA
"36588"	"non-localized"	"ENSG00000242186.1"	NA	NA	NA
"36589"	"non-localized"	"ENSG00000242190.1"	NA	NA	NA
"36590"	"cytosol"	"ENSG00000242193.10"	NA	NA	NA
"36591"	"non-localized"	"ENSG00000242195.1"	NA	NA	NA
"36592"	"non-localized"	"ENSG00000242197.2"	NA	NA	NA
"36593"	"non-localized"	"ENSG00000242198.1"	NA	NA	NA
"36594"	"non-localized"	"ENSG00000242199.1"	NA	NA	NA
"36595"	"non-localized"	"ENSG00000242201.3"	NA	NA	NA
"36596"	"non-localized"	"ENSG00000242206.2"	NA	NA	NA
"36597"	"cytosol"	"ENSG00000242207.1"	NA	NA	NA
"36598"	"nucleus"	"ENSG00000242208.1"	NA	NA	NA
"36599"	"non-localized"	"ENSG00000242209.1"	NA	NA	NA
"36600"	"non-localized"	"ENSG00000242214.1"	NA	NA	NA
"36601"	"non-localized"	"ENSG00000242216.3"	NA	NA	NA
"36602"	"nucleus"	"ENSG00000242220.6"	NA	NA	NA
"36603"	"non-localized"	"ENSG00000242221.8"	NA	NA	NA
"36604"	"non-localized"	"ENSG00000242222.1"	NA	NA	NA
"36605"	"non-localized"	"ENSG00000242229.1"	NA	NA	NA
"36606"	"non-localized"	"ENSG00000242236.2"	NA	NA	NA
"36607"	"non-localized"	"ENSG00000242241.3"	NA	NA	NA
"36608"	"non-localized"	"ENSG00000242242.5"	NA	NA	NA
"36609"	"non-localized"	"ENSG00000242244.1"	NA	NA	NA
"36610"	"non-localized"	"ENSG00000242246.2"	NA	NA	NA
"36611"	"nucleus"	"ENSG00000242247.10"	NA	NA	NA
"36612"	"non-localized"	"ENSG00000242248.2"	NA	NA	NA
"36613"	"cytosol"	"ENSG00000242251.3"	NA	NA	NA
"36614"	"cytosol"	"ENSG00000242252.1"	NA	NA	NA
"36615"	"cytosol"	"ENSG00000242255.1"	NA	NA	NA
"36616"	"cytosol"	"ENSG00000242256.3"	NA	NA	NA
"36617"	"cytosol"	"ENSG00000242258.1"	NA	NA	NA
"36618"	"nucleus"	"ENSG00000242259.8"	47.03	"protein_coding"	""
"36619"	"non-localized"	"ENSG00000242261.1"	NA	NA	NA
"36620"	"nucleus"	"ENSG00000242262.1"	NA	NA	NA
"36621"	"nucleus"	"ENSG00000242265.5"	43.22	"protein_coding"	""
"36622"	"non-localized"	"ENSG00000242266.3"	NA	NA	NA
"36623"	"non-localized"	"ENSG00000242267.6"	NA	NA	NA
"36624"	"non-localized"	"ENSG00000242268.2"	NA	NA	NA
"36625"	"nucleus"	"ENSG00000242272.1"	NA	NA	NA
"36626"	"nucleus"	"ENSG00000242276.2"	NA	NA	NA
"36627"	"non-localized"	"ENSG00000242278.1"	NA	NA	NA
"36628"	"non-localized"	"ENSG00000242279.1"	NA	NA	NA
"36629"	"non-localized"	"ENSG00000242280.1"	NA	NA	NA
"36630"	"non-localized"	"ENSG00000242281.3"	NA	NA	NA
"36631"	"cytosol"	"ENSG00000242282.6"	NA	NA	NA
"36632"	"non-localized"	"ENSG00000242285.1"	NA	NA	NA
"36633"	"cytosol"	"ENSG00000242288.9"	NA	NA	NA
"36634"	"non-localized"	"ENSG00000242290.2"	NA	NA	NA
"36635"	"non-localized"	"ENSG00000242291.1"	NA	NA	NA
"36636"	"non-localized"	"ENSG00000242292.2"	NA	NA	NA
"36637"	"non-localized"	"ENSG00000242293.1"	NA	NA	NA
"36638"	"cytosol"	"ENSG00000242294.6"	NA	NA	NA
"36639"	"non-localized"	"ENSG00000242295.1"	NA	NA	NA
"36640"	"non-localized"	"ENSG00000242296.2"	NA	NA	NA
"36641"	"nucleus"	"ENSG00000242299.1"	NA	NA	NA
"36642"	"non-localized"	"ENSG00000242307.1"	NA	NA	NA
"36643"	"non-localized"	"ENSG00000242308.2"	NA	NA	NA
"36644"	"non-localized"	"ENSG00000242314.1"	NA	NA	NA
"36645"	"cytosol"	"ENSG00000242315.3"	NA	NA	NA
"36646"	"non-localized"	"ENSG00000242317.1"	NA	NA	NA
"36647"	"cytosol"	"ENSG00000242318.1"	NA	NA	NA
"36648"	"non-localized"	"ENSG00000242320.2"	NA	NA	NA
"36649"	"non-localized"	"ENSG00000242321.1"	NA	NA	NA
"36650"	"non-localized"	"ENSG00000242324.1"	NA	NA	NA
"36651"	"non-localized"	"ENSG00000242325.1"	NA	NA	NA
"36652"	"non-localized"	"ENSG00000242326.1"	NA	NA	NA
"36653"	"non-localized"	"ENSG00000242327.1"	NA	NA	NA
"36654"	"non-localized"	"ENSG00000242329.1"	NA	NA	NA
"36655"	"cytosol"	"ENSG00000242330.3"	NA	NA	NA
"36656"	"cytosol"	"ENSG00000242337.5"	NA	NA	NA
"36657"	"cytosol"	"ENSG00000242338.6"	NA	NA	NA
"36658"	"non-localized"	"ENSG00000242339.1"	NA	NA	NA
"36659"	"non-localized"	"ENSG00000242341.3"	NA	NA	NA
"36660"	"non-localized"	"ENSG00000242348.3"	NA	NA	NA
"36661"	"cytosol"	"ENSG00000242349.5"	NA	NA	NA
"36662"	"nucleus"	"ENSG00000242352.2"	NA	NA	NA
"36663"	"non-localized"	"ENSG00000242353.1"	NA	NA	NA
"36664"	"non-localized"	"ENSG00000242358.1"	NA	NA	NA
"36665"	"non-localized"	"ENSG00000242360.3"	NA	NA	NA
"36666"	"non-localized"	"ENSG00000242362.2"	49.47	"protein_coding"	""
"36667"	"non-localized"	"ENSG00000242364.1"	NA	NA	NA
"36668"	"non-localized"	"ENSG00000242365.1"	NA	NA	NA
"36669"	"cytosol"	"ENSG00000242366.3"	41.09	"protein_coding"	"TMhelix"
"36670"	"non-localized"	"ENSG00000242370.1"	NA	NA	NA
"36671"	"non-localized"	"ENSG00000242371.1"	49.43	"IG_V_gene"	""
"36672"	"nucleus"	"ENSG00000242372.6"	NA	NA	NA
"36673"	"cytosol"	"ENSG00000242375.1"	NA	NA	NA
"36674"	"non-localized"	"ENSG00000242381.3"	NA	NA	NA
"36675"	"non-localized"	"ENSG00000242385.1"	NA	NA	NA
"36676"	"non-localized"	"ENSG00000242387.1"	NA	NA	NA
"36677"	"non-localized"	"ENSG00000242389.8"	37.01	"protein_coding"	""
"36678"	"cytosol"	"ENSG00000242390.1"	NA	NA	NA
"36679"	"non-localized"	"ENSG00000242391.2"	NA	NA	NA
"36680"	"non-localized"	"ENSG00000242393.1"	NA	NA	NA
"36681"	"nucleus"	"ENSG00000242396.1"	NA	NA	NA
"36682"	"cytosol"	"ENSG00000242398.3"	NA	NA	NA
"36683"	"non-localized"	"ENSG00000242399.1"	NA	NA	NA
"36684"	"non-localized"	"ENSG00000242405.2"	NA	NA	NA
"36685"	"non-localized"	"ENSG00000242407.1"	NA	NA	NA
"36686"	"non-localized"	"ENSG00000242411.2"	NA	NA	NA
"36687"	"cytosol"	"ENSG00000242412.1"	NA	NA	NA
"36688"	"non-localized"	"ENSG00000242417.1"	NA	NA	NA
"36689"	"non-localized"	"ENSG00000242419.5"	51.82	"protein_coding"	"TMhelix"
"36690"	"non-localized"	"ENSG00000242419.5"	51.82	"protein_coding"	""
"36691"	"non-localized"	"ENSG00000242423.2"	NA	NA	NA
"36692"	"non-localized"	"ENSG00000242428.5"	NA	NA	NA
"36693"	"non-localized"	"ENSG00000242430.3"	NA	NA	NA
"36694"	"non-localized"	"ENSG00000242431.2"	NA	NA	NA
"36695"	"cytosol"	"ENSG00000242435.1"	NA	NA	NA
"36696"	"cytosol"	"ENSG00000242436.3"	NA	NA	NA
"36697"	"cytosol"	"ENSG00000242439.1"	NA	NA	NA
"36698"	"non-localized"	"ENSG00000242440.1"	NA	NA	NA
"36699"	"nucleus"	"ENSG00000242441.7"	NA	NA	NA
"36700"	"non-localized"	"ENSG00000242444.3"	NA	NA	NA
"36701"	"nucleus"	"ENSG00000242445.1"	NA	NA	NA
"36702"	"non-localized"	"ENSG00000242456.1"	NA	NA	NA
"36703"	"nucleus"	"ENSG00000242457.1"	NA	NA	NA
"36704"	"non-localized"	"ENSG00000242461.1"	NA	NA	NA
"36705"	"non-localized"	"ENSG00000242472.1"	65.31	"IG_J_gene"	""
"36706"	"non-localized"	"ENSG00000242473.1"	NA	NA	NA
"36707"	"cytosol"	"ENSG00000242474.2"	NA	NA	NA
"36708"	"cytosol"	"ENSG00000242477.1"	NA	NA	NA
"36709"	"cytosol"	"ENSG00000242479.1"	NA	NA	NA
"36710"	"non-localized"	"ENSG00000242482.3"	NA	NA	NA
"36711"	"cytosol"	"ENSG00000242483.3"	NA	NA	NA
"36712"	"nucleus"	"ENSG00000242485.5"	NA	NA	NA
"36713"	"non-localized"	"ENSG00000242488.2"	NA	NA	NA
"36714"	"non-localized"	"ENSG00000242493.3"	NA	NA	NA
"36715"	"cytosol"	"ENSG00000242498.7"	NA	NA	NA
"36716"	"non-localized"	"ENSG00000242507.6"	NA	NA	NA
"36717"	"non-localized"	"ENSG00000242509.3"	NA	NA	NA
"36718"	"non-localized"	"ENSG00000242510.1"	NA	NA	NA
"36719"	"non-localized"	"ENSG00000242512.8"	NA	NA	NA
"36720"	"cytosol"	"ENSG00000242515.5"	41.6	"protein_coding"	"TMhelix"
"36721"	"cytosol"	"ENSG00000242515.5"	41.6	"protein_coding"	""
"36722"	"nucleus"	"ENSG00000242516.1"	NA	NA	NA
"36723"	"non-localized"	"ENSG00000242520.5"	NA	NA	NA
"36724"	"non-localized"	"ENSG00000242522.1"	NA	NA	NA
"36725"	"non-localized"	"ENSG00000242524.1"	NA	NA	NA
"36726"	"cytosol"	"ENSG00000242525.1"	NA	NA	NA
"36727"	"non-localized"	"ENSG00000242527.1"	NA	NA	NA
"36728"	"non-localized"	"ENSG00000242529.1"	NA	NA	NA
"36729"	"non-localized"	"ENSG00000242531.1"	NA	NA	NA
"36730"	"non-localized"	"ENSG00000242534.2"	43.43	"IG_V_gene"	""
"36731"	"non-localized"	"ENSG00000242536.1"	NA	NA	NA
"36732"	"non-localized"	"ENSG00000242537.1"	NA	NA	NA
"36733"	"cytosol"	"ENSG00000242539.2"	NA	NA	NA
"36734"	"non-localized"	"ENSG00000242540.2"	NA	NA	NA
"36735"	"non-localized"	"ENSG00000242545.1"	NA	NA	NA
"36736"	"non-localized"	"ENSG00000242547.3"	NA	NA	NA
"36737"	"nucleus"	"ENSG00000242550.5"	NA	NA	NA
"36738"	"cytosol"	"ENSG00000242551.2"	NA	NA	NA
"36739"	"non-localized"	"ENSG00000242552.1"	NA	NA	NA
"36740"	"nucleus"	"ENSG00000242553.1"	NA	NA	NA
"36741"	"non-localized"	"ENSG00000242559.3"	NA	NA	NA
"36742"	"non-localized"	"ENSG00000242560.3"	NA	NA	NA
"36743"	"non-localized"	"ENSG00000242561.1"	NA	NA	NA
"36744"	"nucleus"	"ENSG00000242562.1"	NA	NA	NA
"36745"	"non-localized"	"ENSG00000242565.3"	NA	NA	NA
"36746"	"non-localized"	"ENSG00000242568.1"	NA	NA	NA
"36747"	"nucleus"	"ENSG00000242571.1"	NA	NA	NA
"36748"	"non-localized"	"ENSG00000242573.1"	NA	NA	NA
"36749"	"cytosol"	"ENSG00000242574.8"	NA	NA	NA
"36750"	"non-localized"	"ENSG00000242575.1"	NA	NA	NA
"36751"	"non-localized"	"ENSG00000242578.1"	NA	NA	NA
"36752"	"non-localized"	"ENSG00000242580.1"	51.45	"IG_V_gene"	""
"36753"	"cytosol"	"ENSG00000242583.1"	NA	NA	NA
"36754"	"non-localized"	"ENSG00000242586.1"	NA	NA	NA
"36755"	"cytosol"	"ENSG00000242588.5"	NA	NA	NA
"36756"	"non-localized"	"ENSG00000242590.1"	NA	NA	NA
"36757"	"cytosol"	"ENSG00000242593.5"	NA	NA	NA
"36758"	"non-localized"	"ENSG00000242595.1"	NA	NA	NA
"36759"	"non-localized"	"ENSG00000242598.1"	NA	NA	NA
"36760"	"cytosol"	"ENSG00000242599.7"	NA	NA	NA
"36761"	"cytosol"	"ENSG00000242600.8"	NA	NA	NA
"36762"	"non-localized"	"ENSG00000242602.1"	NA	NA	NA
"36763"	"non-localized"	"ENSG00000242607.1"	NA	NA	NA
"36764"	"non-localized"	"ENSG00000242608.1"	NA	NA	NA
"36765"	"cytosol"	"ENSG00000242609.1"	NA	NA	NA
"36766"	"cytosol"	"ENSG00000242610.1"	NA	NA	NA
"36767"	"nucleus"	"ENSG00000242612.6"	NA	NA	NA
"36768"	"non-localized"	"ENSG00000242613.1"	NA	NA	NA
"36769"	"non-localized"	"ENSG00000242614.3"	NA	NA	NA
"36770"	"non-localized"	"ENSG00000242615.1"	NA	NA	NA
"36771"	"nucleus"	"ENSG00000242616.3"	NA	NA	NA
"36772"	"non-localized"	"ENSG00000242618.1"	NA	NA	NA
"36773"	"nucleus"	"ENSG00000242622.1"	NA	NA	NA
"36774"	"non-localized"	"ENSG00000242628.5"	NA	NA	NA
"36775"	"non-localized"	"ENSG00000242634.1"	NA	NA	NA
"36776"	"non-localized"	"ENSG00000242635.2"	NA	NA	NA
"36777"	"non-localized"	"ENSG00000242636.1"	NA	NA	NA
"36778"	"non-localized"	"ENSG00000242638.3"	NA	NA	NA
"36779"	"non-localized"	"ENSG00000242640.1"	NA	NA	NA
"36780"	"non-localized"	"ENSG00000242641.5"	NA	NA	NA
"36781"	"non-localized"	"ENSG00000242650.3"	NA	NA	NA
"36782"	"non-localized"	"ENSG00000242651.3"	NA	NA	NA
"36783"	"non-localized"	"ENSG00000242653.3"	NA	NA	NA
"36784"	"non-localized"	"ENSG00000242654.1"	NA	NA	NA
"36785"	"non-localized"	"ENSG00000242657.3"	NA	NA	NA
"36786"	"non-localized"	"ENSG00000242659.1"	NA	NA	NA
"36787"	"non-localized"	"ENSG00000242660.1"	NA	NA	NA
"36788"	"non-localized"	"ENSG00000242661.1"	NA	NA	NA
"36789"	"nucleus"	"ENSG00000242667.1"	NA	NA	NA
"36790"	"non-localized"	"ENSG00000242668.3"	NA	NA	NA
"36791"	"non-localized"	"ENSG00000242670.1"	NA	NA	NA
"36792"	"non-localized"	"ENSG00000242671.1"	NA	NA	NA
"36793"	"non-localized"	"ENSG00000242673.3"	NA	NA	NA
"36794"	"non-localized"	"ENSG00000242675.1"	NA	NA	NA
"36795"	"cytosol"	"ENSG00000242683.1"	NA	NA	NA
"36796"	"cytosol"	"ENSG00000242686.4"	NA	NA	NA
"36797"	"nucleus"	"ENSG00000242687.2"	NA	NA	NA
"36798"	"non-localized"	"ENSG00000242688.3"	NA	NA	NA
"36799"	"cytosol"	"ENSG00000242689.2"	NA	NA	NA
"36800"	"non-localized"	"ENSG00000242692.1"	NA	NA	NA
"36801"	"non-localized"	"ENSG00000242696.3"	NA	NA	NA
"36802"	"nucleus"	"ENSG00000242697.2"	NA	NA	NA
"36803"	"non-localized"	"ENSG00000242699.3"	NA	NA	NA
"36804"	"non-localized"	"ENSG00000242703.1"	NA	NA	NA
"36805"	"non-localized"	"ENSG00000242705.1"	NA	NA	NA
"36806"	"non-localized"	"ENSG00000242706.2"	NA	NA	NA
"36807"	"cytosol"	"ENSG00000242707.3"	NA	NA	NA
"36808"	"non-localized"	"ENSG00000242709.1"	NA	NA	NA
"36809"	"nucleus"	"ENSG00000242715.7"	NA	NA	NA
"36810"	"non-localized"	"ENSG00000242719.3"	NA	NA	NA
"36811"	"non-localized"	"ENSG00000242727.2"	NA	NA	NA
"36812"	"non-localized"	"ENSG00000242728.1"	NA	NA	NA
"36813"	"non-localized"	"ENSG00000242729.1"	NA	NA	NA
"36814"	"non-localized"	"ENSG00000242731.3"	NA	NA	NA
"36815"	"nucleus"	"ENSG00000242732.4"	54.99	"protein_coding"	""
"36816"	"nucleus"	"ENSG00000242735.1"	NA	NA	NA
"36817"	"non-localized"	"ENSG00000242736.1"	NA	NA	NA
"36818"	"cytosol"	"ENSG00000242737.1"	NA	NA	NA
"36819"	"non-localized"	"ENSG00000242741.1"	NA	NA	NA
"36820"	"cytosol"	"ENSG00000242747.1"	NA	NA	NA
"36821"	"cytosol"	"ENSG00000242748.1"	NA	NA	NA
"36822"	"non-localized"	"ENSG00000242752.3"	NA	NA	NA
"36823"	"non-localized"	"ENSG00000242753.1"	NA	NA	NA
"36824"	"non-localized"	"ENSG00000242756.2"	NA	NA	NA
"36825"	"non-localized"	"ENSG00000242757.1"	NA	NA	NA
"36826"	"nucleus"	"ENSG00000242759.6"	NA	NA	NA
"36827"	"non-localized"	"ENSG00000242764.3"	NA	NA	NA
"36828"	"non-localized"	"ENSG00000242766.1"	50.68	"IG_V_gene"	""
"36829"	"non-localized"	"ENSG00000242767.1"	NA	NA	NA
"36830"	"non-localized"	"ENSG00000242768.2"	NA	NA	NA
"36831"	"non-localized"	"ENSG00000242769.3"	NA	NA	NA
"36832"	"cytosol"	"ENSG00000242770.2"	NA	NA	NA
"36833"	"non-localized"	"ENSG00000242771.1"	NA	NA	NA
"36834"	"non-localized"	"ENSG00000242775.1"	NA	NA	NA
"36835"	"nucleus"	"ENSG00000242779.6"	NA	NA	NA
"36836"	"nucleus"	"ENSG00000242781.1"	NA	NA	NA
"36837"	"non-localized"	"ENSG00000242790.1"	NA	NA	NA
"36838"	"cytosol"	"ENSG00000242791.2"	NA	NA	NA
"36839"	"non-localized"	"ENSG00000242793.1"	NA	NA	NA
"36840"	"non-localized"	"ENSG00000242794.2"	NA	NA	NA
"36841"	"non-localized"	"ENSG00000242795.2"	NA	NA	NA
"36842"	"cytosol"	"ENSG00000242797.3"	NA	NA	NA
"36843"	"cytosol"	"ENSG00000242798.1"	NA	NA	NA
"36844"	"cytosol"	"ENSG00000242802.6"	NA	NA	NA
"36845"	"non-localized"	"ENSG00000242807.1"	NA	NA	NA
"36846"	"cytosol"	"ENSG00000242808.7"	NA	NA	NA
"36847"	"cytosol"	"ENSG00000242810.1"	NA	NA	NA
"36848"	"non-localized"	"ENSG00000242811.3"	NA	NA	NA
"36849"	"nucleus"	"ENSG00000242814.2"	NA	NA	NA
"36850"	"non-localized"	"ENSG00000242816.1"	NA	NA	NA
"36851"	"cytosol"	"ENSG00000242818.3"	NA	NA	NA
"36852"	"cytosol"	"ENSG00000242828.1"	NA	NA	NA
"36853"	"non-localized"	"ENSG00000242829.1"	NA	NA	NA
"36854"	"non-localized"	"ENSG00000242834.1"	NA	NA	NA
"36855"	"non-localized"	"ENSG00000242836.1"	NA	NA	NA
"36856"	"non-localized"	"ENSG00000242837.1"	NA	NA	NA
"36857"	"non-localized"	"ENSG00000242841.1"	NA	NA	NA
"36858"	"non-localized"	"ENSG00000242849.2"	NA	NA	NA
"36859"	"non-localized"	"ENSG00000242850.3"	NA	NA	NA
"36860"	"nucleus"	"ENSG00000242852.6"	NA	NA	NA
"36861"	"cytosol"	"ENSG00000242853.3"	NA	NA	NA
"36862"	"non-localized"	"ENSG00000242854.1"	NA	NA	NA
"36863"	"non-localized"	"ENSG00000242855.3"	NA	NA	NA
"36864"	"non-localized"	"ENSG00000242856.3"	NA	NA	NA
"36865"	"cytosol"	"ENSG00000242858.1"	NA	NA	NA
"36866"	"non-localized"	"ENSG00000242860.3"	NA	NA	NA
"36867"	"cytosol"	"ENSG00000242861.1"	NA	NA	NA
"36868"	"non-localized"	"ENSG00000242863.3"	NA	NA	NA
"36869"	"nucleus"	"ENSG00000242865.3"	NA	NA	NA
"36870"	"cytosol"	"ENSG00000242866.9"	NA	NA	NA
"36871"	"non-localized"	"ENSG00000242875.6"	39.86	"protein_coding"	""
"36872"	"cytosol"	"ENSG00000242876.3"	NA	NA	NA
"36873"	"non-localized"	"ENSG00000242879.1"	NA	NA	NA
"36874"	"cytosol"	"ENSG00000242880.1"	NA	NA	NA
"36875"	"nucleus"	"ENSG00000242882.1"	NA	NA	NA
"36876"	"non-localized"	"ENSG00000242887.1"	51.02	"IG_J_gene"	""
"36877"	"non-localized"	"ENSG00000242888.1"	NA	NA	NA
"36878"	"cytosol"	"ENSG00000242889.3"	NA	NA	NA
"36879"	"non-localized"	"ENSG00000242893.3"	NA	NA	NA
"36880"	"non-localized"	"ENSG00000242894.3"	NA	NA	NA
"36881"	"non-localized"	"ENSG00000242899.1"	NA	NA	NA
"36882"	"non-localized"	"ENSG00000242902.1"	NA	NA	NA
"36883"	"non-localized"	"ENSG00000242908.6"	NA	NA	NA
"36884"	"non-localized"	"ENSG00000242911.1"	NA	NA	NA
"36885"	"non-localized"	"ENSG00000242912.3"	NA	NA	NA
"36886"	"non-localized"	"ENSG00000242915.1"	NA	NA	NA
"36887"	"non-localized"	"ENSG00000242922.2"	NA	NA	NA
"36888"	"non-localized"	"ENSG00000242925.1"	NA	NA	NA
"36889"	"non-localized"	"ENSG00000242928.3"	NA	NA	NA
"36890"	"cytosol"	"ENSG00000242931.1"	NA	NA	NA
"36891"	"non-localized"	"ENSG00000242936.1"	NA	NA	NA
"36892"	"non-localized"	"ENSG00000242941.1"	NA	NA	NA
"36893"	"non-localized"	"ENSG00000242943.1"	NA	NA	NA
"36894"	"non-localized"	"ENSG00000242945.2"	NA	NA	NA
"36895"	"non-localized"	"ENSG00000242948.1"	NA	NA	NA
"36896"	"cytosol"	"ENSG00000242950.6"	NA	NA	NA
"36897"	"cytosol"	"ENSG00000242951.1"	NA	NA	NA
"36898"	"nucleus"	"ENSG00000242952.1"	NA	NA	NA
"36899"	"non-localized"	"ENSG00000242953.1"	NA	NA	NA
"36900"	"non-localized"	"ENSG00000242958.1"	NA	NA	NA
"36901"	"nucleus"	"ENSG00000242960.1"	NA	NA	NA
"36902"	"non-localized"	"ENSG00000242963.1"	NA	NA	NA
"36903"	"non-localized"	"ENSG00000242968.1"	NA	NA	NA
"36904"	"cytosol"	"ENSG00000242970.2"	NA	NA	NA
"36905"	"cytosol"	"ENSG00000242971.3"	NA	NA	NA
"36906"	"non-localized"	"ENSG00000242973.6"	NA	NA	NA
"36907"	"non-localized"	"ENSG00000242976.3"	NA	NA	NA
"36908"	"non-localized"	"ENSG00000242978.1"	NA	NA	NA
"36909"	"cytosol"	"ENSG00000242979.1"	NA	NA	NA
"36910"	"non-localized"	"ENSG00000242983.1"	NA	NA	NA
"36911"	"non-localized"	"ENSG00000242985.3"	NA	NA	NA
"36912"	"non-localized"	"ENSG00000242986.2"	NA	NA	NA
"36913"	"non-localized"	"ENSG00000242989.3"	NA	NA	NA
"36914"	"non-localized"	"ENSG00000242990.2"	NA	NA	NA
"36915"	"non-localized"	"ENSG00000242991.2"	NA	NA	NA
"36916"	"nucleus"	"ENSG00000242992.3"	NA	NA	NA
"36917"	"non-localized"	"ENSG00000242993.1"	NA	NA	NA
"36918"	"non-localized"	"ENSG00000242995.1"	NA	NA	NA
"36919"	"non-localized"	"ENSG00000242998.3"	NA	NA	NA
"36920"	"cytosol"	"ENSG00000242999.3"	NA	NA	NA
"36921"	"cytosol"	"ENSG00000243004.5"	NA	NA	NA
"36922"	"cytosol"	"ENSG00000243005.3"	NA	NA	NA
"36923"	"non-localized"	"ENSG00000243007.1"	NA	NA	NA
"36924"	"non-localized"	"ENSG00000243008.2"	NA	NA	NA
"36925"	"non-localized"	"ENSG00000243011.3"	NA	NA	NA
"36926"	"non-localized"	"ENSG00000243012.1"	NA	NA	NA
"36927"	"non-localized"	"ENSG00000243014.1"	NA	NA	NA
"36928"	"nucleus"	"ENSG00000243015.2"	NA	NA	NA
"36929"	"non-localized"	"ENSG00000243016.1"	NA	NA	NA
"36930"	"non-localized"	"ENSG00000243018.1"	NA	NA	NA
"36931"	"non-localized"	"ENSG00000243020.1"	NA	NA	NA
"36932"	"non-localized"	"ENSG00000243022.1"	NA	NA	NA
"36933"	"non-localized"	"ENSG00000243023.2"	NA	NA	NA
"36934"	"nucleus"	"ENSG00000243024.6"	NA	NA	NA
"36935"	"non-localized"	"ENSG00000243025.1"	NA	NA	NA
"36936"	"non-localized"	"ENSG00000243027.3"	NA	NA	NA
"36937"	"non-localized"	"ENSG00000243029.3"	NA	NA	NA
"36938"	"non-localized"	"ENSG00000243033.2"	NA	NA	NA
"36939"	"non-localized"	"ENSG00000243035.3"	NA	NA	NA
"36940"	"non-localized"	"ENSG00000243038.1"	NA	NA	NA
"36941"	"non-localized"	"ENSG00000243040.6"	NA	NA	NA
"36942"	"non-localized"	"ENSG00000243044.1"	NA	NA	NA
"36943"	"non-localized"	"ENSG00000243048.3"	NA	NA	NA
"36944"	"non-localized"	"ENSG00000243049.3"	NA	NA	NA
"36945"	"non-localized"	"ENSG00000243050.1"	NA	NA	NA
"36946"	"cytosol"	"ENSG00000243051.3"	NA	NA	NA
"36947"	"non-localized"	"ENSG00000243053.2"	NA	NA	NA
"36948"	"non-localized"	"ENSG00000243055.1"	NA	NA	NA
"36949"	"nucleus"	"ENSG00000243056.1"	NA	NA	NA
"36950"	"non-localized"	"ENSG00000243058.1"	NA	NA	NA
"36951"	"non-localized"	"ENSG00000243059.3"	NA	NA	NA
"36952"	"non-localized"	"ENSG00000243062.5"	NA	NA	NA
"36953"	"non-localized"	"ENSG00000243063.1"	50.49	"IG_V_gene"	""
"36954"	"cytosol"	"ENSG00000243064.8"	NA	NA	NA
"36955"	"non-localized"	"ENSG00000243066.3"	NA	NA	NA
"36956"	"non-localized"	"ENSG00000243069.7"	NA	NA	NA
"36957"	"nucleus"	"ENSG00000243071.1"	NA	NA	NA
"36958"	"non-localized"	"ENSG00000243072.1"	NA	NA	NA
